,wellbore_uwi,surface_latitude,surface_longitude,bottom_latitude,bottom_longitude,bottom_depth,depth,formation,surface_easting,surface_northing,formation_estimate,formation_complete
0,100063608122W600,56.06479215,-121.30300508,56.06479215,-121.30300508,-1068.0,-1050.0,NORDEGG,605654.916897518,6214589.114183399,,NORDEGG
1,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,,-2302.0,DEBOLT,677303.9264563806,6221736.935189233,,DEBOLT
2,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-2302.0,-2213.0,GOLATA,677303.9264563806,6221736.935189233,,GOLATA
3,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-2213.0,-1811.5,BELLOY,677303.9264563806,6221736.935189233,,BELLOY
4,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-1811.5,-1489.0,MONTNEY,677303.9264563806,6221736.935189233,,MONTNEY
5,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-1489.0,-1417.0,DOIG,677303.9264563806,6221736.935189233,,DOIG
6,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-1417.0,-1405.0,HALFWAY,677303.9264563806,6221736.935189233,,HALFWAY
7,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-1405.0,-1264.0,BOUNDARY LAKE,677303.9264563806,6221736.935189233,,BOUNDARY LAKE
8,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-1264.0,-1188.0,CHARLIE LAKE,677303.9264563806,6221736.935189233,,CHARLIE LAKE
9,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-1188.0,-1157.0,BALDONNEL,677303.9264563806,6221736.935189233,,BALDONNEL
10,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-1157.0,-1130.0,NORDEGG,677303.9264563806,6221736.935189233,,NORDEGG
11,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-1130.0,-1042.0,FERNIE,677303.9264563806,6221736.935189233,,FERNIE
12,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-1042.0,-1033.0,NIKANASSIN,677303.9264563806,6221736.935189233,,NIKANASSIN
13,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-1033.0,-1001.5,CADOMIN,677303.9264563806,6221736.935189233,,CADOMIN
14,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-1001.5,-891.0,GETHING,677303.9264563806,6221736.935189233,,GETHING
15,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-891.0,-846.0,BLUESKY,677303.9264563806,6221736.935189233,,BLUESKY
16,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-846.0,-521.0,NOTIKEWIN,677303.9264563806,6221736.935189233,,NOTIKEWIN
17,100071708214W600,56.10776494,-120.14874216,56.10776494,-120.14874216,-521.0,-445.0,PEACE RIVER,677303.9264563806,6221736.935189233,,PEACE RIVER
18,100021208220W600,56.08733402,-120.98334951,56.08733402,-120.98334951,,-1717.0,T.D.,625480.5397747791,6217632.632561142,,T.D.
19,100021208220W600,56.08733402,-120.98334951,56.08733402,-120.98334951,-1717.0,-1645.0,DOIG,625480.5397747791,6217632.632561142,,DOIG
