wellbore_uwi,formatted_uwi
100043008017W600,100/04-30-080-17W6/00
100130507916W600,100/13-05-079-16W6/00
102162908020W600,102/16-29-080-20W6/00
100011808015W600,100/01-18-080-15W6/00
100013008015W600,100/01-30-080-15W6/00
102080208514W600,102/08-02-085-14W6/00
100142307818W600,100/14-23-078-18W6/00
100042908017W600,100/04-29-080-17W6/00
100042008016W600,100/04-20-080-16W6/00
102142307818W600,102/14-23-078-18W6/00
102130407917W600,102/13-04-079-17W6/00
100030907917W600,100/03-09-079-17W6/00
100160208219W600,100/16-02-082-19W6/00
100051308018W600,100/05-13-080-18W6/00
102091507818W600,102/09-15-078-18W6/00
103071507818W600,103/07-15-078-18W6/00
103071708118W600,103/07-17-081-18W6/00
100162008016W600,100/16-20-080-16W6/00
100052808016W600,100/05-28-080-16W6/00
103050508115W600,103/05-05-081-15W6/00
104011907817W600,104/01-19-078-17W6/00
105091008017W600,105/09-10-080-17W6/00
104161808117W600,104/16-18-081-17W6/00
102041508117W600,102/04-15-081-17W6/00
102080808017W600,102/08-08-080-17W6/00
100151308018W600,100/15-13-080-18W6/00
103130407917W600,103/13-04-079-17W6/00
100080707917W600,100/08-07-079-17W6/00
100121308018W600,100/12-13-080-18W6/00
100160308120W600,100/16-03-081-20W6/00
100063408114W602,100/06-34-081-14W6/02
100063408114W600,100/06-34-081-14W6/00
102062307819W600,102/06-23-078-19W6/00
100041607921W600,100/04-16-079-21W6/00
100051507814W600,100/05-15-078-14W6/00
103022907817W600,103/02-29-078-17W6/00
102150808117W600,102/15-08-081-17W6/00
100160308219W600,100/16-03-082-19W6/00
100090208219W602,100/09-02-082-19W6/02
100010208219W600,100/01-02-082-19W6/00
100092208016W600,100/09-22-080-16W6/00
100162908020W600,100/16-29-080-20W6/00
103080208019W600,103/08-02-080-19W6/00
100020908017W600,100/02-09-080-17W6/00
103080908017W600,103/08-09-080-17W6/00
100040608115W600,100/04-06-081-15W6/00
100041208016W600,100/04-12-080-16W6/00
100040807916W600,100/04-08-079-16W6/00
100031708018W600,100/03-17-080-18W6/00
102031708018W600,102/03-17-080-18W6/00
100042008018W600,100/04-20-080-18W6/00
102153008018W600,102/15-30-080-18W6/00
105031708018W600,105/03-17-080-18W6/00
100143608114W602,100/14-36-081-14W6/02
100143608114W600,100/14-36-081-14W6/00
100160707818W600,100/16-07-078-18W6/00
103121708015W600,103/12-17-080-15W6/00
102010208016W600,102/01-02-080-16W6/00
102091808014W600,102/09-18-080-14W6/00
100120808219W600,100/12-08-082-19W6/00
104121308018W600,104/12-13-080-18W6/00
102011008018W600,102/01-10-080-18W6/00
100152707917W600,100/15-27-079-17W6/00
100142707917W600,100/14-27-079-17W6/00
105091907817W600,105/09-19-078-17W6/00
100052807917W600,100/05-28-079-17W6/00
102122208020W600,102/12-22-080-20W6/00
105092308020W600,105/09-23-080-20W6/00
100160308018W600,100/16-03-080-18W6/00
100051707918W600,100/05-17-079-18W6/00
100140408214W600,100/14-04-082-14W6/00
102132807819W600,102/13-28-078-19W6/00
100112307819W600,100/11-23-078-19W6/00
102050608115W600,102/05-06-081-15W6/00
102133208015W600,102/13-32-080-15W6/00
100080508214W602,100/08-05-082-14W6/02
100080508214W600,100/08-05-082-14W6/00
100022707817W600,100/02-27-078-17W6/00
103082108018W600,103/08-21-080-18W6/00
100012108018W600,100/01-21-080-18W6/00
102012307917W600,102/01-23-079-17W6/00
103052308119W600,103/05-23-081-19W6/00
100122608015W600,100/12-26-080-15W6/00
102121708015W600,102/12-17-080-15W6/00
104160708117W600,104/16-07-081-17W6/00
103122108015W600,103/12-21-080-15W6/00
102052808020W600,102/05-28-080-20W6/00
103092908020W600,103/09-29-080-20W6/00
102160708015W600,102/16-07-080-15W6/00
100101708120W600,100/10-17-081-20W6/00
102160208019W600,102/16-02-080-19W6/00
100163207819W603,100/16-32-078-19W6/03
100163207819W602,100/16-32-078-19W6/02
100163207819W600,100/16-32-078-19W6/00
100071208214W600,100/07-12-082-14W6/00
100082408119W600,100/08-24-081-19W6/00
100051607817W600,100/05-16-078-17W6/00
103120108016W600,103/12-01-080-16W6/00
103133308015W600,103/13-33-080-15W6/00
100010608115W600,100/01-06-081-15W6/00
100080608018W600,100/08-06-080-18W6/00
104012308018W600,104/01-23-080-18W6/00
100011108019W600,100/01-11-080-19W6/00
102123008015W600,102/12-30-080-15W6/00
102121408016W604,102/12-14-080-16W6/04
102121408016W603,102/12-14-080-16W6/03
102121408016W602,102/12-14-080-16W6/02
102121408016W600,102/12-14-080-16W6/00
100052508016W600,100/05-25-080-16W6/00
100051007919W602,100/05-10-079-19W6/02
100051007919W600,100/05-10-079-19W6/00
102080707917W600,102/08-07-079-17W6/00
100042407817W600,100/04-24-078-17W6/00
100032207817W602,100/03-22-078-17W6/02
102162308020W600,102/16-23-080-20W6/00
100132808020W600,100/13-28-080-20W6/00
100113108013W600,100/11-31-080-13W6/00
102132608016W600,102/13-26-080-16W6/00
100110807816W600,100/11-08-078-16W6/00
103131307819W600,103/13-13-078-19W6/00
100053108015W600,100/05-31-080-15W6/00
103042908017W600,103/04-29-080-17W6/00
102090308018W600,102/09-03-080-18W6/00
102132308016W600,102/13-23-080-16W6/00
100123207918W600,100/12-32-079-18W6/00
102160608015W600,102/16-06-080-15W6/00
100041708015W600,100/04-17-080-15W6/00
102092908020W600,102/09-29-080-20W6/00
100011707816W600,100/01-17-078-16W6/00
100120808015W600,100/12-08-080-15W6/00
105131308018W600,105/13-13-080-18W6/00
100022308114W602,100/02-23-081-14W6/02
100022308114W600,100/02-23-081-14W6/00
104162308020W600,104/16-23-080-20W6/00
100121707817W600,100/12-17-078-17W6/00
100041607817W602,100/04-16-078-17W6/02
100151208121W600,100/15-12-081-21W6/00
102083408018W602,102/08-34-080-18W6/02
100093308018W600,100/09-33-080-18W6/00
104101708120W600,104/10-17-081-20W6/00
103041208016W600,103/04-12-080-16W6/00
102011108017W600,102/01-11-080-17W6/00
103051508019W600,103/05-15-080-19W6/00
102121208016W600,102/12-12-080-16W6/00
100062707819W600,100/06-27-078-19W6/00
102021307915W600,102/02-13-079-15W6/00
102160308018W600,102/16-03-080-18W6/00
100052208020W600,100/05-22-080-20W6/00
103160308120W600,103/16-03-081-20W6/00
102090408219W600,102/09-04-082-19W6/00
